Movie_Title,Genre,Rating,Votes,Popularity_Score,Region,Gross_Proxy
The Godfather,Drama,9.2,2200000.0,20240000.0,Hollywood,20240000.0
Sirat,Drama,7.0,16000.0,112000.0,Bollywood,112000.0
Inglourious Basterds,Drama,8.4,1800000.0,15120000.0,Hollywood,15120000.0
Good Will Hunting,Drama,8.3,1200000.0,9960000.0,Hollywood,9960000.0
Bugonia,Comedy,7.4,121000.0,895400.0,Bollywood,895400.0
Wake Up Dead Man,Comedy,7.4,193000.0,1428200.0,Bollywood,1428200.0
Rental Family,Comedy,7.7,22000.0,169400.0,Bollywood,169400.0
No Other Choice,Comedy,7.6,34000.0,258400.0,Bollywood,258400.0
Zootopia 2,Comedy,7.5,66000.0,495000.0,Bollywood,495000.0
I Want Your Sex,Comedy,6.5,58.0,377.0,Bollywood,377.0
Blue Moon,Comedy,6.9,12000.0,82800.0,Bollywood,82800.0
Anaconda,Comedy,5.9,19000.0,112100.0,Bollywood,112100.0
Jay Kelly,Comedy,6.6,34000.0,224400.0,Bollywood,224400.0
Pillion,Comedy,6.8,6000.0,40800.0,Bollywood,40800.0
Knives Out,Comedy,7.9,865000.0,6833500.0,Hollywood,6833500.0
KPop Demon Hunters,Comedy,7.5,115000.0,862500.0,Bollywood,862500.0
Eternity,Comedy,7.0,34000.0,238000.0,Bollywood,238000.0
The Naked Gun,Comedy,6.3,110000.0,693000.0,Bollywood,693000.0
Eddington,Comedy,6.6,50000.0,330000.0,Bollywood,330000.0
Is This Thing On?,Comedy,7.1,3200.0,22720.0,Bollywood,22720.0
The Ugly Stepsister,Comedy,7.0,36000.0,252000.0,Bollywood,252000.0
Caught Stealing,Comedy,6.9,67000.0,462300.0,Bollywood,462300.0
Anora,Comedy,7.4,261000.0,1931400.0,Others,1931400.0
The Toxic Avenger,Comedy,5.9,15000.0,88500.0,Bollywood,88500.0
Good Fortune,Comedy,6.5,32000.0,208000.0,Bollywood,208000.0
The Wolf of Wall Street,Comedy,8.2,1800000.0,14759999.999999998,Hollywood,14759999.999999998
The Thursday Murder Club,Comedy,6.5,79000.0,513500.0,Bollywood,513500.0
The SpongeBob Movie: Search for SquarePants,Comedy,5.7,5800.0,33060.0,Bollywood,33060.0
Zootopia,Comedy,8.0,619000.0,4952000.0,Hollywood,4952000.0
How to Train Your Dragon,Comedy,7.7,120000.0,924000.0,Bollywood,924000.0
Once Upon a Time... in Hollywood,Comedy,7.6,948000.0,7204800.0,Hollywood,7204800.0
Glass Onion,Comedy,7.1,514000.0,3649400.0,Hollywood,3649400.0
Dead Poets Society,Comedy,8.1,637000.0,5159700.0,Hollywood,5159700.0
Poor Things,Comedy,7.8,384000.0,2995200.0,Others,2995200.0
Cold Storage,Comedy,7.8,99.0,772.1999999999999,Bollywood,772.1999999999999
Afterburn,Comedy,4.6,5600.0,25759.999999999996,Bollywood,25759.999999999996
The Wrecking Crew,Comedy,6.6,2300.0,15180.0,Bollywood,15180.0
Dodgeball: A True Underdog Story,Comedy,6.7,283000.0,1896100.0,Others,1896100.0
The Phoenician Scheme,Comedy,6.6,62000.0,409200.0,Bollywood,409200.0
Back to the Future,Comedy,8.5,1400000.0,11900000.0,Hollywood,11900000.0
The Moment,Comedy,5.4,128.0,691.2,Bollywood,691.2
The Ballad of Wallis Island,Comedy,7.4,19000.0,140600.0,Bollywood,140600.0
The Roses,Comedy,6.6,49000.0,323400.0,Bollywood,323400.0
"Sorry, Baby",Comedy,7.2,19000.0,136800.0,Bollywood,136800.0
Twinless,Comedy,7.4,10000.0,74000.0,Bollywood,74000.0
Materialists,Comedy,6.3,85000.0,535500.0,Bollywood,535500.0
Mickey 17,Comedy,6.7,228000.0,1527600.0,Others,1527600.0
"Good Luck, Have Fun, Don't Die",Comedy,7.3,561.0,4095.2999999999997,Bollywood,4095.2999999999997
Nobody 2,Comedy,6.3,73000.0,459900.0,Bollywood,459900.0
A Minecraft Movie,Comedy,5.6,152000.0,851200.0,Bollywood,851200.0
Licorice Pizza,Comedy,7.1,158000.0,1121800.0,Bollywood,1121800.0
The Worst Person in the World,Comedy,7.7,122000.0,939400.0,Bollywood,939400.0
Code 3,Comedy,7.2,14000.0,100800.0,Bollywood,100800.0
The Rip,Thriller,6.8,75000.0,510000.0,Bollywood,510000.0
Sinners,Thriller,7.5,376000.0,2820000.0,Others,2820000.0
One Battle After Another,Thriller,7.8,299000.0,2332200.0,Others,2332200.0
The Housemaid,Thriller,7.0,44000.0,308000.0,Bollywood,308000.0
Mercy,Thriller,6.2,5900.0,36580.0,Bollywood,36580.0
The Secret Agent,Thriller,7.6,17000.0,129200.0,Bollywood,129200.0
Wake Up Dead Man,Thriller,7.4,193000.0,1428200.0,Bollywood,1428200.0
The Running Man,Thriller,6.4,71000.0,454400.0,Bollywood,454400.0
28 Years Later,Thriller,6.6,189000.0,1247400.0,Bollywood,1247400.0
Send Help,Thriller,7.1,496.0,3521.6,Bollywood,3521.6
Nuremberg,Thriller,7.4,52000.0,384800.0,Bollywood,384800.0
No Other Choice,Thriller,7.6,34000.0,258400.0,Bollywood,258400.0
Heel,Thriller,6.6,231.0,1524.6,Bollywood,1524.6
Dhurandhar,Thriller,8.5,103000.0,875500.0,Bollywood,875500.0
Predator: Badlands,Thriller,7.3,89000.0,649700.0,Bollywood,649700.0
Greenland 2: Migration,Thriller,5.5,7100.0,39050.0,Bollywood,39050.0
Dust Bunny,Thriller,6.6,7300.0,48180.0,Bollywood,48180.0
If I Had Legs I'd Kick You,Thriller,6.7,16000.0,107200.0,Bollywood,107200.0
Die My Love,Thriller,6.1,33000.0,201300.0,Bollywood,201300.0
No Time to Die,Thriller,7.3,481000.0,3511300.0,Others,3511300.0
I Want Your Sex,Thriller,6.5,58.0,377.0,Bollywood,377.0
28 Days Later,Thriller,7.5,535000.0,4012500.0,Hollywood,4012500.0
The Tank,Thriller,6.5,11000.0,71500.0,Bollywood,71500.0
It Was Just an Accident,Thriller,7.5,19000.0,142500.0,Bollywood,142500.0
Ballerina,Thriller,6.8,135000.0,918000.0,Bollywood,918000.0
Now You See Me: Now You Don't,Thriller,5.9,49000.0,289100.0,Bollywood,289100.0
